n,ID,BinaryLogitProbability,SUM_p(y=1),Matriculated,lift
68,1389212,0.867727743,60.00110019,0,1.045136638
69,1680787,0.867520586,60.86862077,1,1.044887127
70,1563779,0.867114764,61.73573554,1,1.044398333
71,1539891,0.866913459,62.60264899,0,1.044155871
72,1666017,0.866412649,63.46906164,1,1.043552669
73,1530905,0.865920167,64.33498181,0,1.042959498
74,1468950,0.865840408,65.20082222,1,1.042863432
75,1479100,0.865613326,66.06643554,0,1.042589923
76,1261296,0.865549635,66.93198518,1,1.04251321
77,1577737,0.865044235,67.79702941,0,1.04190448
78,1696118,0.864966913,68.66199633,1,1.041811349
79,1579640,0.86446913,69.52646546,1,1.041211794
80,1687048,0.864031837,70.39049729,1,1.040685094
81,1563417,0.863771484,71.25426878,1,1.040371512
82,1409923,0.863771484,72.11804026,1,1.040371512
83,1673868,0.86376268,72.98180294,1,1.040360908
84,1603132,0.86376268,73.84556562,0,1.040360908
85,1459316,0.863628683,74.7091943,1,1.040199515
86,1636592,0.863615185,75.57280949,1,1.040183257
87,1649990,0.863003637,76.43581313,1,1.039446678
88,1635718,0.863002178,77.2988153,1,1.03944492
89,1694351,0.862923668,78.16173897,0,1.039350359
90,1568366,0.862851363,79.02459034,1,1.039263271
91,1566553,0.862386847,79.88697718,1,1.038703783
92,1541636,0.86223208,80.74920926,0,1.038517374
93,1621388,0.862083453,81.61129272,1,1.03833836
94,1664814,0.862083453,82.47337617,1,1.03833836
95,1559634,0.862083453,83.33545962,1,1.03833836
96,1624475,0.861236263,84.19669589,1,1.037317959
97,1563296,0.861014591,85.05771048,0,1.037050966
98,1590782,0.860827984,85.91853846,1,1.036826207
99,1695640,0.860827984,86.77936645,1,1.036826207
100,1669865,0.860763842,87.64013029,0,1.036748951
101,1693470,0.860678087,88.50080837,1,1.036645664
102,1576145,0.860678087,89.36148646,1,1.036645664
103,1545383,0.860268875,90.22175534,1,1.036152787
104,1680767,0.860268433,91.08202377,1,1.036152255
105,1399024,0.860184295,91.94220807,1,1.036050914
106,1666435,0.860184295,92.80239236,1,1.036050914
107,1622912,0.860159633,93.66255199,1,1.03602121
108,1673923,0.86004254,94.52259453,1,1.035880177
109,1675749,0.859860768,95.3824553,1,1.035661242
110,1624110,0.859114246,96.24156955,0,1.034762091
111,1506860,0.858914367,97.10048391,0,1.034521347
112,1458088,0.858695921,97.95917984,0,1.034258238
113,1680886,0.858695921,98.81787576,1,1.034258238
114,1543697,0.858425882,99.67630164,1,1.033932989
115,1616647,0.857526302,100.5338279,1,1.032849488
116,1566662,0.857526302,101.3913542,0,1.032849488
117,1538024,0.857482363,102.2488366,1,1.032796566
118,1189816,0.857228269,103.1060649,0,1.032490523
119,1664561,0.857006467,103.9630713,1,1.032223372
120,1682852,0.856757866,104.8198292,1,1.031923944
121,1693425,0.856725056,105.6765543,1,1.031884426
122,1532794,0.856539695,106.533094,1,1.031661167
123,1663990,0.856456969,107.3895509,1,1.031561528
124,1680969,0.856267834,108.2458188,1,1.031333724
125,1546284,0.856082251,109.101901,0,1.031110198
126,1632013,0.856081981,109.957983,0,1.031109873
127,1508047,0.85581574,110.8137987,0,1.030789198
128,1581044,0.8557291,111.6695278,1,1.030684844
129,1583063,0.855473886,112.5250017,1,1.030377451
130,1532026,0.855013619,113.3800153,1,1.029823081
131,1605308,0.854997518,114.2350129,1,1.029803689
132,1523360,0.854741273,115.0897541,0,1.029495054
133,1479533,0.854741273,115.9444954,1,1.029495054
134,1676624,0.854470325,116.7989657,1,1.02916871
135,1658713,0.85428896,117.6532547,1,1.028950265
136,1671546,0.853768101,118.5070228,1,1.028322915
137,1691166,0.853651488,119.3606743,1,1.02818246
138,1593803,0.852957999,120.2136323,1,1.027347186
139,1543953,0.852957999,121.0665903,1,1.027347186
140,1673767,0.852957999,121.9195483,1,1.027347186
141,1505668,0.852100039,122.7716483,1,1.026313813
142,1670435,0.851508003,123.6231563,1,1.025600735
143,1605225,0.851475666,124.474632,1,1.025561786
144,1686401,0.851115389,125.3257474,1,1.02512785
145,1637427,0.85108245,126.1768298,0,1.025088177
146,1439623,0.850486872,127.0273167,1,1.024370831
147,1597476,0.850201108,127.8775178,1,1.024026642
148,1637195,0.850092523,128.7276103,1,1.023895856
149,1535406,0.849981017,129.5775913,0,1.023761553
150,1560299,0.849981017,130.4275724,0,1.023761553
151,1548862,0.849705471,131.2772778,1,1.023429671
152,1596574,0.849455943,132.1267338,1,1.023129126
